name,price,fuel_type,year,kms,cv,location,url,brand,model,engine,version
BMW Z4 2.2i,8990.0,Gasolina,2005,212400,170,Málaga,https://www.coches.net/bmw-z4-22i-2p-gasolina-2006-en-malaga-60727120-covo.aspx,BMW,Z4,2.2,2.2
BMW Z4 2.5i,9000.0,Gasolina,2008,283000,177,Madrid,https://www.coches.net/bmw-z4-25i-2p-gasolina-2008-en-madrid-60287495-covo.aspx,BMW,Z4,2.5,2.5
BMW Z4 2.5i,9000.0,Gasolina,2003,162000,192,Girona,https://www.coches.net/bmw-z4-25i-2p-gasolina-2003-en-girona-60473462-covo.aspx,BMW,Z4,2.5,2.5
BMW Z4 2.0i,9200.0,Gasolina,2008,134000,150,Badajoz,https://www.coches.net/bmw-z4-2.0i-2p-gasolina-2008-en-badajoz-60080119-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4 2.5i,9490.0,Gasolina,2006,235500,192,Segovia,https://www.coches.net/bmw-z4-25i-2p-gasolina-2006-en-segovia-60346476-covo.aspx,BMW,Z4,2.5,2.5
BMW Z4 sDrive23i,9500.0,Gasolina,2011,175000,204,Pontevedra,https://www.coches.net/bmw-z4-sdrive23i-2p-gasolina-2011-en-pontevedra-59604401-covo.aspx,BMW,Z4,No data,SDRIVE23I
BMW Z4,9500.0,Gasolina,2012,175000,204,Pontevedra,https://www.coches.net/bmw-z4-gasolina-2012-en-pontevedra-60124745-covo.aspx,BMW,Z4,6,6
BMW Z4,9800.0,Gasolina,2005,184000,170,Navarra,https://www.coches.net/bmw-z4-gasolina-2005-en-navarra-60673019-covo.aspx,BMW,Z4,2.2,2.2
BMW Z4 2.2i,9950.0,Gasolina,2004,109000,170,Baleares,https://www.coches.net/bmw-z4-22i-2p-gasolina-2004-en-baleares-59617282-covo.aspx,BMW,Z4,2.2,2.2
BMW Z4 2.0i,9990.0,Gasolina,2007,215000,150,Lleida,https://www.coches.net/bmw-z4-20i-2p-gasolina-2008-en-lleida-60667698-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4 2.2i,10300.0,Gasolina,2004,185000,170,Málaga,https://www.coches.net/bmw-z4-22i-2p-gasolina-2004-en-malaga-60813152-covo.aspx,BMW,Z4,2.2,2.2
BMW Z4 2.0i,10600.0,Gasolina,2007,135000,150,Zaragoza,https://www.coches.net/bmw-z4-20i-2p-gasolina-2007-en-zaragoza-60754115-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4 2.0i,10800.0,Gasolina,2007,179000,150,Sevilla,https://www.coches.net/bmw-z4-20i-2p-gasolina-2007-en-sevilla-60679651-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4 2.0i,10900.0,Gasolina,2008,192000,150,Castellón,https://www.coches.net/bmw-z4-20i-2p-gasolina-2008-en-castellon-60813855-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4 2.0i,10900.0,Gasolina,2008,138000,150,Sta. C. Tenerife,https://www.coches.net/bmw-z4-20i-2p-gasolina-2008-en-sta_c_tenerife-60123267-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4 2.0i 2p.,10900.0,Gasolina,2008,130900,150,Albacete,https://www.coches.net/bmw-z4-20i-2p-gasolina-2008-en-albacete-57625250-covo.aspx,BMW,Z4,2.0,2.0 2P.
BMW Z4 2.2i,10990.0,Gasolina,2005,179000,170,Madrid,https://www.coches.net/bmw-z4-22i-2p-gasolina-2005-en-madrid-60772247-covo.aspx,BMW,Z4,2.2,2.2
BMW Z4 2.0i,10990.0,Gasolina,2008,220000,150,Tarragona,https://www.coches.net/bmw-z4-2.0i-2p-gasolina-2008-en-tarragona-60449083-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4 2.0i,10999.0,Gasolina,2007,209000,150,Barcelona,https://www.coches.net/bmw-z4-20i-2p-gasolina-2008-en-barcelona-60695022-covo.aspx,BMW,Z4,2.0,2.0
BMW Z4,11000.0,Gasolina,2003,206000,192,Las Palmas,https://www.coches.net/bmw-z4-gasolina-2003-en-las_palmas-60807481-covo.aspx,BMW,Z4,2.5,2.5
BMW Z4 2.2i,11199.0,Gasolina,2005,205000,170,Madrid,https://www.coches.net/bmw-z4-22i-2p-gasolina-2006-en-madrid-60402728-covo.aspx,BMW,Z4,2.2,2.2
BMW Z4 2.2i,11250.0,Gasolina,2005,199999,170,Alicante,https://www.coches.net/bmw-z4-22i-2p-gasolina-2006-en-alicante-60493033-covo.aspx,BMW,Z4,2.2,2.2
BMW Z4 2.2i,11500.0,Gasolina,2006,170000,170,Alicante,https://www.coches.net/bmw-z4-22i-2p-gasolina-2006-en-alicante-60255916-covo.aspx,BMW,Z4,2.2,2.2
BMW Z4 2.5i,11700.0,Gasolina,2003,161200,192,Madrid,https://www.coches.net/bmw-z4-25i-2p-gasolina-2003-en-madrid-60755162-covo.aspx,BMW,Z4,2.5,2.5
BMW Z4 3.0i,11900.0,Gasolina,2004,237000,231,Madrid,https://www.coches.net/bmw-z4-30i-2p-gasolina-2004-en-madrid-60446768-covo.aspx,BMW,Z4,3.0,3.0
